phone_number,email,credit_score,age_group,family_background,income,comments,intent
+91-9064392310,katelyn22@example.net,366,36-50,Married with Kids,875393,soon maybe now,0
+91-9397877668,lisa36@example.com,536,26-35,Single,804994,urgent,1
+91-9264913651,judygiles@example.com,845,36-50,Married,450985,immediately now not interested,1
+91-9695078507,jade50@example.org,749,18-25,Married,494268,maybe urgent,1
+91-9657216289,gwilliams@example.net,638,51+,Married with Kids,224182,interested maybe,1
+91-9638880740,jbrown@example.net,767,26-35,Married with Kids,120226,not interested later,0
+91-9213881494,lgonzales@example.net,592,36-50,Married,728868,soon urgent immediately,1
+91-9786290189,nicholas49@example.net,801,18-25,Single,532494,immediately urgent,1
+91-9666492326,vegasherry@example.org,749,36-50,Single,673139,immediately now,0
+91-9813115511,fcoffey@example.org,386,26-35,Married,819840,immediately now,1
+91-9348938810,sarmstrong@example.net,375,26-35,Single,864373,now interested maybe,1
+91-9126153638,oconnorchristopher@example.com,736,51+,Single,925641,later,1
+91-9068521210,rossbarry@example.net,323,18-25,Single,132908,maybe not interested urgent,0
+91-9847148463,hernandezjonathan@example.net,655,26-35,Married with Kids,591005,maybe urgent later,1
+91-9325416018,lindaharrison@example.com,768,51+,Married,367516,soon interested now,0
+91-9897062422,melissa43@example.net,586,18-25,Married,754792,interested later not interested,0
+91-9086600906,fosteredward@example.com,379,36-50,Married with Kids,538098,immediately not interested soon,0
+91-9744410269,jeffrey25@example.com,511,26-35,Single,842311,later,1
+91-9939077149,paynejacob@example.net,480,26-35,Married with Kids,577980,immediately not interested later,0
+91-9941177946,tonymartin@example.net,407,36-50,Single,456852,interested later,0
+91-9447685636,julie36@example.com,580,51+,Married,687383,later maybe,0
+91-9532855250,astevens@example.net,324,36-50,Married with Kids,501366,urgent soon not interested,0
+91-9832112637,richardhenry@example.com,733,36-50,Married with Kids,228341,maybe later,0
+91-9331536378,hmendoza@example.org,629,36-50,Single,457423,interested not interested now,1
+91-9375865142,moraalexandra@example.net,535,26-35,Single,812668,interested later,0
+91-9184859013,tcastillo@example.org,342,51+,Married with Kids,496754,later soon not interested,0
+91-9286507016,deanna28@example.net,446,18-25,Married with Kids,445576,later,0
+91-9751228435,elam@example.org,565,36-50,Married,450028,now urgent not interested,1
+91-9878845094,howardmelissa@example.org,638,26-35,Single,471257,interested soon immediately,1
+91-9567196067,plewis@example.org,741,18-25,Single,758155,interested soon later,1
+91-9973787910,yreynolds@example.org,336,51+,Married,647364,soon,1
+91-9269439656,davidadams@example.org,802,36-50,Single,329382,later interested,0
+91-9597030869,samuel41@example.com,676,36-50,Married,231335,immediately later,1
+91-9494679753,leachpatricia@example.org,539,36-50,Married with Kids,252386,maybe,1
+91-9529769720,xvalentine@example.net,785,18-25,Married with Kids,392748,not interested now soon,0
+91-9781638986,tiffany58@example.org,377,26-35,Married with Kids,106534,not interested,1
+91-9299257729,kstone@example.org,728,18-25,Married with Kids,661724,immediately,0
+91-9604450819,ahowell@example.net,692,26-35,Single,247572,immediately later urgent,1
+91-9180064870,ycook@example.net,543,18-25,Married with Kids,576365,interested now not interested,1
+91-9723829633,qtaylor@example.com,692,51+,Single,539637,maybe now interested,0
+91-9029389384,melaniewilliams@example.org,643,51+,Married with Kids,368633,immediately soon,0
+91-9302657161,crangel@example.com,430,36-50,Married with Kids,258204,maybe soon immediately,0
+91-9535163116,donald59@example.com,436,18-25,Married,820077,immediately,1
+91-9107822789,corey02@example.com,584,18-25,Married,477054,now,1
+91-9423863943,deandavid@example.net,752,18-25,Single,949562,not interested later interested,1
+91-9691602794,morrislori@example.net,818,51+,Single,581630,later interested not interested,1
+91-9189124616,cindy00@example.org,457,26-35,Married with Kids,726358,soon urgent,0
+91-9597949794,tmurphy@example.org,764,51+,Married with Kids,944220,now immediately urgent,1
+91-9956194241,angelica37@example.com,484,36-50,Married with Kids,517907,maybe interested urgent,0
+91-9687662438,julie37@example.org,769,18-25,Married,659807,later soon,1
+91-9923308443,monroeallison@example.org,603,36-50,Married,355314,maybe later,1
+91-9801795919,heatherscott@example.com,357,36-50,Married with Kids,218703,now,0
+91-9187201460,newmanamanda@example.com,664,51+,Married with Kids,930830,maybe,1
+91-9446231181,kaylahines@example.net,365,18-25,Single,202239,interested maybe urgent,0
+91-9576183997,sylviayang@example.net,449,51+,Married with Kids,395045,later,0
+91-9811405326,tyler00@example.net,662,51+,Married with Kids,710251,not interested now,0
+91-9228088906,pnorton@example.net,769,51+,Married,362914,interested urgent,1
+91-9969602637,thorntonclifford@example.com,805,36-50,Married with Kids,989359,urgent,1
+91-9103710819,mark07@example.net,659,18-25,Married,239672,immediately interested urgent,1
+91-9620419010,jacqueline25@example.net,536,51+,Married,902851,not interested,1
+91-9987314486,ktrevino@example.org,415,26-35,Single,482798,soon now,0
+91-9672400485,bryan92@example.net,424,26-35,Married with Kids,780339,not interested immediately,0
+91-9233633057,ericksonerika@example.org,538,18-25,Single,756060,later maybe,0
+91-9208522459,bbuchanan@example.com,483,36-50,Single,890833,now interested,1
+91-9972296689,davistaylor@example.net,533,51+,Single,532415,now,0
+91-9504499065,adriennejacobs@example.com,335,36-50,Married,856224,not interested,0
+91-9087678117,lisacardenas@example.net,415,18-25,Married,262545,immediately,0
+91-9375584575,bryangarrett@example.org,822,51+,Married,229878,now,0
+91-9117076008,wbenson@example.net,460,18-25,Married,764539,later,1
+91-9697978714,fmartinez@example.com,799,18-25,Married with Kids,434524,urgent immediately now,0
+91-9047690987,larry80@example.org,417,51+,Married with Kids,257932,not interested interested maybe,1
+91-9723739178,bthomas@example.org,585,36-50,Single,503924,interested maybe now,0
+91-9806464860,ashleygibson@example.net,749,36-50,Single,887999,immediately,0
+91-9875754817,derekjordan@example.org,300,18-25,Single,450560,interested not interested,0
+91-9198639541,barnettcarlos@example.org,796,26-35,Married with Kids,362500,later,1
+91-9036031808,jerry65@example.com,378,36-50,Married with Kids,463624,soon,1
+91-9002572708,prestontrevino@example.net,483,36-50,Single,448564,soon,1
+91-9648086328,kathryn51@example.net,560,18-25,Married with Kids,403616,not interested,0
+91-9837638775,townsenddaisy@example.org,340,36-50,Married with Kids,186657,interested,0
+91-9857349750,ikrause@example.net,735,26-35,Married with Kids,411515,soon not interested immediately,0
+91-9563696511,gardnerelizabeth@example.net,529,18-25,Married,621856,soon,1
+91-9631701131,ffarmer@example.net,506,26-35,Single,996090,urgent soon,1
+91-9012057669,wbean@example.org,781,18-25,Single,104182,immediately later urgent,1
+91-9861156240,andersonjuan@example.org,451,36-50,Married with Kids,200305,soon,0
+91-9282674261,piercejames@example.net,639,18-25,Married,784874,immediately not interested,1
+91-9695360117,fmiller@example.org,323,18-25,Married with Kids,684252,interested maybe immediately,0
+91-9721721405,natashahaynes@example.net,347,18-25,Married with Kids,838597,urgent immediately interested,0
+91-9885214234,martinjose@example.net,328,26-35,Married,611674,not interested now,0
+91-9117905972,garykline@example.net,456,36-50,Married with Kids,873577,immediately,1
+91-9591142260,william42@example.net,617,18-25,Married,789298,later,0
+91-9182148214,wallacerichard@example.com,553,36-50,Married with Kids,214847,soon not interested,0
+91-9251312055,lindaharper@example.org,390,18-25,Single,285339,soon,0
+91-9443483974,jamessmith@example.com,547,51+,Married,390887,urgent not interested,0
+91-9350494664,gthomas@example.net,703,18-25,Married,520819,soon not interested maybe,1
+91-9264761265,zwilliams@example.com,372,36-50,Married,654430,now,0
+91-9289297055,leverett@example.net,350,51+,Married,148487,later soon,0
+91-9044470109,frazierjulie@example.com,813,18-25,Married with Kids,909842,soon,1
+91-9051569493,jenniferallen@example.org,685,18-25,Single,143428,interested soon,0
+91-9309887523,gwarner@example.net,611,51+,Married,283485,soon not interested now,1
+91-9985216056,ntaylor@example.org,612,36-50,Married,694618,not interested later,1
+91-9991183673,tony01@example.org,317,26-35,Single,231898,not interested interested urgent,0
+91-9526733882,robertsthomas@example.com,609,36-50,Single,374666,maybe later urgent,1
+91-9326187056,agibson@example.org,780,51+,Married with Kids,353005,urgent now immediately,1
+91-9571626299,foxerin@example.com,307,51+,Married,412738,not interested,0
+91-9824495245,imoreno@example.org,364,51+,Married,741207,later interested,0
+91-9696976203,edwardsdonald@example.com,446,18-25,Married with Kids,680213,now,1
+91-9815805100,achaney@example.com,603,51+,Married with Kids,351642,later now maybe,0
+91-9433967877,juliaward@example.org,345,36-50,Married,602903,urgent not interested soon,0
+91-9457814557,rogerdiaz@example.org,527,36-50,Married with Kids,674000,later,1
+91-9978192586,taylorjoseph@example.org,340,51+,Married with Kids,750473,maybe immediately soon,0
+91-9837986011,johnsonchristopher@example.com,552,26-35,Married with Kids,202537,not interested now later,0
+91-9984563744,rebekahjennings@example.com,645,51+,Married,590724,immediately urgent,1
+91-9209452948,loweryeric@example.org,461,36-50,Married with Kids,968582,maybe,1
+91-9391587632,alexagraham@example.net,632,26-35,Single,125280,soon maybe,1
+91-9310150488,erivera@example.com,710,26-35,Single,954678,not interested maybe urgent,1
+91-9053053927,josephwalter@example.com,513,18-25,Single,722121,urgent,1
+91-9028159489,sarah14@example.net,832,36-50,Married with Kids,976281,immediately,1
+91-9496236835,pharrell@example.net,427,51+,Single,631861,now maybe urgent,1
+91-9846552132,bflores@example.com,574,26-35,Married,638212,maybe,1
+91-9112407859,heathersmith@example.com,578,26-35,Single,541386,interested immediately,1
+91-9441105527,hudsonnathan@example.net,589,18-25,Married with Kids,152179,later now,0
+91-9638910809,johnsonchelsea@example.org,832,36-50,Married,938835,later urgent,1
+91-9161612297,kimberlywatkins@example.com,433,18-25,Married with Kids,894275,now,1
+91-9861118985,carlrodriguez@example.org,795,51+,Married,615718,soon later interested,0
+91-9142533872,ikeller@example.net,477,36-50,Married with Kids,398881,later interested,1
+91-9474652888,petersonchristine@example.net,806,18-25,Married with Kids,781140,now later urgent,1
+91-9421462411,qdaniel@example.org,348,51+,Single,569896,now later,0
+91-9953136523,tcarpenter@example.com,356,36-50,Married with Kids,212024,now,1
+91-9446961783,williamcoleman@example.com,602,18-25,Single,850958,immediately urgent now,1
+91-9656716603,christopher00@example.com,397,26-35,Married,146683,interested soon,0
+91-9872760396,davisbrittney@example.net,434,36-50,Married with Kids,661410,soon now not interested,0
+91-9515993770,cameronjennifer@example.com,693,26-35,Married with Kids,845148,interested now later,1
+91-9007444840,leeshaun@example.org,390,26-35,Married,166845,soon,0
+91-9685621710,fieldsryan@example.com,418,26-35,Married with Kids,678965,immediately urgent later,1
+91-9389132886,williamjones@example.net,749,51+,Single,172524,interested,1
+91-9632415321,baueralexandra@example.net,507,36-50,Single,614158,maybe,0
+91-9779166785,gonzalezmargaret@example.net,512,36-50,Married,871035,immediately urgent later,1
+91-9717168300,krystal33@example.com,683,36-50,Single,824585,later interested,0
+91-9441859703,michael31@example.org,394,51+,Married with Kids,668413,later,1
+91-9452704810,randallhayden@example.org,716,18-25,Single,883107,later urgent soon,1
+91-9046919553,kallen@example.org,645,26-35,Married,661053,soon later immediately,0
+91-9675845329,taylorjermaine@example.com,839,18-25,Married,161804,maybe later not interested,1
+91-9583329181,joshuacolon@example.net,476,26-35,Married with Kids,378614,immediately,0
+91-9765595731,gregorypope@example.net,436,18-25,Married,679769,not interested,1
+91-9326542156,teresazhang@example.net,413,26-35,Married,750617,now maybe,0
+91-9519793311,robert92@example.com,821,18-25,Single,507888,not interested,1
+91-9346833788,christopher73@example.com,696,51+,Married with Kids,520209,maybe,1
+91-9883630980,shelley13@example.com,494,26-35,Married,986821,interested not interested,1
+91-9174238310,jessica76@example.net,844,51+,Single,562661,immediately maybe,0
+91-9700041793,pnelson@example.com,543,36-50,Married with Kids,413785,soon now,0
+91-9529409871,shellyjacobs@example.com,697,18-25,Married,844376,interested maybe,1
+91-9119314031,kimcobb@example.net,318,26-35,Single,156890,urgent maybe,0
+91-9156412132,balvarado@example.com,467,26-35,Single,865343,urgent not interested,1
+91-9474350888,melaniegood@example.com,336,26-35,Married with Kids,359738,not interested maybe now,0
+91-9126462871,angeladuran@example.net,439,18-25,Single,133635,urgent not interested,0
+91-9264286595,xjackson@example.net,674,36-50,Married with Kids,590406,immediately interested,1
+91-9641280970,rmorales@example.org,391,36-50,Single,445170,soon later urgent,1
+91-9121055258,deborahlambert@example.net,625,26-35,Married with Kids,921278,maybe not interested,1
+91-9500484787,jennifer21@example.net,717,26-35,Single,939534,urgent not interested,1
+91-9921352920,christopher13@example.org,477,26-35,Single,493889,interested,0
+91-9119621848,jacob03@example.com,548,26-35,Single,711338,maybe now urgent,1
+91-9696790657,jamestanner@example.com,767,36-50,Single,587106,maybe,1
+91-9527381075,krystal68@example.net,462,51+,Married,954798,urgent,1
+91-9419952577,taylor73@example.com,338,26-35,Single,783926,maybe soon later,0
+91-9127688190,roachrebecca@example.com,325,36-50,Married,734395,immediately not interested maybe,0
+91-9709171607,tammy97@example.net,391,51+,Married with Kids,873424,now maybe,0
+91-9628981736,mary58@example.net,664,51+,Married,650878,now not interested,1
+91-9824699357,jamesjones@example.net,841,51+,Single,551731,interested,1
+91-9132597659,xsalas@example.com,476,26-35,Married,558286,later maybe,0
+91-9776312918,rnolan@example.com,454,26-35,Married,599675,immediately,1
+91-9692863810,patrickwright@example.org,371,18-25,Married with Kids,111762,not interested,0
+91-9655521032,qpayne@example.com,766,36-50,Single,127840,now soon not interested,1
+91-9558961898,rscott@example.org,788,26-35,Single,348072,later,1
+91-9978158965,howardrobert@example.net,674,18-25,Married with Kids,888832,immediately interested,1
+91-9543195269,john11@example.com,359,26-35,Married with Kids,132529,immediately urgent,0
+91-9093465255,lori45@example.com,688,51+,Married,253785,not interested urgent immediately,1
+91-9985392284,mccarthyalyssa@example.net,365,51+,Married with Kids,939293,interested,0
+91-9954786193,davidthornton@example.net,818,51+,Married,148837,immediately urgent,1
+91-9144363245,mmedina@example.net,710,36-50,Married with Kids,753308,urgent soon,0
+91-9470708748,cardenastimothy@example.net,626,51+,Married,954375,not interested interested,0
+91-9641389571,ngarcia@example.com,631,26-35,Married,597144,immediately,0
+91-9408839051,mary92@example.net,561,51+,Married,681331,interested,0
+91-9168457078,roseamy@example.org,482,36-50,Single,100443,not interested maybe,0
+91-9941279046,emilysmith@example.com,465,26-35,Single,360375,soon urgent,1
+91-9908183607,christina59@example.net,843,26-35,Married,603863,urgent maybe,1
+91-9984743014,aimeemontgomery@example.net,323,36-50,Married,334213,later,0
+91-9277378609,francesarmstrong@example.com,405,26-35,Married,638012,now,1
+91-9554601076,morgan32@example.com,476,51+,Married,402282,not interested maybe later,1
+91-9500466122,phardy@example.com,395,18-25,Single,469358,not interested interested,1
+91-9829726921,thomas73@example.com,542,36-50,Married,534700,soon interested later,0
+91-9388510474,keith57@example.org,591,36-50,Single,573030,maybe,0
+91-9809252043,maldonadopatrick@example.org,362,36-50,Single,442800,immediately,1
+91-9318565340,faithcamacho@example.com,549,26-35,Married with Kids,326137,later urgent,0
+91-9318701986,ytaylor@example.com,349,36-50,Married with Kids,148880,urgent maybe,0
+91-9739920852,singletonlindsey@example.net,366,26-35,Single,868156,immediately,0
+91-9812889808,tiffanymontgomery@example.com,533,51+,Married,285317,maybe now immediately,0
+91-9874318830,charles06@example.net,839,51+,Married with Kids,387435,not interested soon now,0
+91-9345403573,sarah55@example.com,585,51+,Married with Kids,793176,now immediately soon,0
+91-9166346818,cnewman@example.net,306,26-35,Married with Kids,255414,soon,0
+91-9369898760,brianhunter@example.net,407,26-35,Married with Kids,597072,maybe not interested,0
+91-9372758437,gallagheralexa@example.org,701,18-25,Married,938196,now interested,1
+91-9624237892,jacobsalex@example.com,506,51+,Married,433601,now maybe,1
+91-9577726746,donaldgordon@example.com,577,36-50,Single,837861,not interested maybe later,1
+91-9679242963,waltondavid@example.com,658,36-50,Married,494221,not interested immediately now,0
+91-9355034319,bhardy@example.org,493,26-35,Single,210936,urgent soon,0
+91-9803581520,shawn88@example.net,396,36-50,Single,484090,now soon not interested,0
+91-9037072826,wbrown@example.org,816,18-25,Married,817999,not interested,1
+91-9918176539,pallen@example.net,413,18-25,Married,685851,immediately urgent,1
+91-9164642534,jacob91@example.com,536,36-50,Single,436420,not interested now,0
+91-9727907538,hbryant@example.org,508,51+,Single,471024,immediately urgent interested,0
+91-9232165032,andersondanielle@example.net,822,18-25,Married with Kids,593978,not interested,1
+91-9086083526,bowenpatrick@example.com,840,18-25,Married,687583,soon immediately,1
+91-9859097860,marylong@example.com,538,36-50,Married,575686,now,0
+91-9956111847,hortega@example.org,426,36-50,Married with Kids,400286,not interested now,1
+91-9321060388,stevenbarton@example.net,472,26-35,Married,760591,maybe now interested,1
+91-9625033166,kjohnson@example.com,695,26-35,Single,736145,maybe urgent,1
+91-9202433813,barbaraallen@example.org,639,36-50,Married,756548,maybe,0
+91-9791647511,richardvasquez@example.net,824,51+,Single,945840,urgent,0
+91-9410573084,lopezmicheal@example.com,559,51+,Married,915710,now later urgent,1
+91-9019598684,kimmaria@example.net,763,26-35,Married with Kids,192515,maybe,0
+91-9950951425,ramosbryce@example.org,469,18-25,Single,832250,soon immediately later,1
+91-9366305481,baxterjessica@example.net,498,36-50,Single,401309,maybe not interested,0
+91-9845439411,millerjoseph@example.org,483,18-25,Married,844334,immediately,0
+91-9279148438,henrysmith@example.com,827,36-50,Married,562309,interested,1
+91-9649946667,olsenbailey@example.com,557,26-35,Single,754112,urgent immediately,0
+91-9513766345,christopherwilliams@example.com,809,36-50,Single,468307,urgent not interested later,0
+91-9477344579,craigadam@example.org,359,36-50,Married with Kids,161266,soon urgent,0
+91-9353940398,davismichael@example.net,692,26-35,Married,371790,later maybe urgent,1
+91-9188294242,ryanpearson@example.net,743,51+,Married,494410,urgent interested soon,0
+91-9622562173,bramirez@example.net,759,51+,Single,172055,immediately now interested,1
+91-9594532645,michelearroyo@example.com,444,26-35,Married with Kids,771128,urgent now,1
+91-9493757374,christopherdavis@example.org,834,26-35,Married,270178,interested urgent maybe,0
+91-9689553579,ygiles@example.org,302,26-35,Married with Kids,327553,now,0
+91-9294881208,lmendez@example.com,339,26-35,Single,222423,urgent,0
+91-9115932711,jdavis@example.com,329,51+,Single,325138,soon,0
+91-9941709777,bgentry@example.org,373,36-50,Single,102615,not interested,0
+91-9780796213,samantha88@example.org,824,18-25,Married with Kids,897714,maybe,1
+91-9046285756,davidrichardson@example.com,694,36-50,Married with Kids,208717,soon,0
+91-9248249085,steven91@example.net,577,51+,Married,160014,now,0
+91-9909703067,maurice58@example.net,645,18-25,Married with Kids,961050,soon,0
+91-9543654602,jessecain@example.com,378,26-35,Married with Kids,271177,interested urgent immediately,0
+91-9412758440,yvalenzuela@example.net,362,51+,Married,910879,soon interested,1
+91-9754664535,vrichardson@example.net,509,26-35,Married,503359,soon not interested interested,0
+91-9539488293,pwilson@example.net,313,26-35,Married,901708,maybe,0
+91-9189135604,qjordan@example.com,644,36-50,Married with Kids,472531,now later immediately,1
+91-9701355983,tsmith@example.com,481,51+,Single,696120,now,1
+91-9860283495,william64@example.org,594,26-35,Married,414422,maybe,0
+91-9680139615,brianskinner@example.net,517,51+,Single,865411,maybe immediately,0
+91-9486916317,jessica17@example.org,627,18-25,Married with Kids,565214,now soon,1
+91-9031024973,conleykirk@example.com,557,26-35,Married,736206,urgent now maybe,0
+91-9058534260,deleonsusan@example.org,326,18-25,Married,539485,maybe interested now,0
+91-9421495874,elizabethlee@example.com,418,36-50,Married,374399,urgent now,1
+91-9070560185,harmonvictoria@example.org,500,36-50,Single,677805,soon,1
+91-9718635138,creynolds@example.net,315,18-25,Married with Kids,504780,now urgent interested,0
+91-9540764419,yvonnejones@example.org,427,36-50,Single,783548,immediately,0
+91-9234071084,rjoyce@example.com,671,36-50,Married,658744,later immediately not interested,1
+91-9112055895,stephaniestone@example.com,534,26-35,Single,444907,maybe,0
+91-9541040206,tiffanymartin@example.net,605,36-50,Married,875096,immediately urgent maybe,1
+91-9405026854,jasonpena@example.org,586,36-50,Single,758818,interested not interested,0
+91-9591616342,elizabeth49@example.com,726,51+,Married with Kids,675354,now not interested maybe,1
+91-9652599430,mcdonaldethan@example.org,463,36-50,Married with Kids,275448,maybe interested immediately,0
+91-9368018614,perezjennifer@example.com,473,51+,Single,420066,not interested,0
+91-9575087623,reedmichael@example.net,626,51+,Married with Kids,431881,not interested,1
+91-9108154355,kevinlucas@example.net,841,18-25,Single,827794,immediately not interested,1
+91-9033104036,xallison@example.org,774,36-50,Married,960644,immediately,1
+91-9849416253,virginiamoreno@example.com,665,26-35,Married,782461,maybe now,1
+91-9993056612,millerkari@example.org,695,36-50,Married with Kids,309089,maybe not interested immediately,1
+91-9405551043,zachary05@example.com,493,51+,Married,772185,not interested,1
+91-9132620361,paul78@example.com,487,18-25,Single,373797,soon now,0
+91-9848271673,akline@example.org,336,36-50,Married,208472,urgent not interested maybe,1
+91-9448039041,zacharywilliams@example.net,671,26-35,Single,926086,maybe urgent,0
+91-9907697041,pereznicole@example.org,360,26-35,Married with Kids,665950,soon now,1
+91-9377465826,dparsons@example.com,360,26-35,Single,401201,maybe,0
+91-9189047297,matthewobrien@example.org,767,18-25,Married with Kids,821288,immediately,1
+91-9214712908,peter69@example.com,848,51+,Married with Kids,478018,soon later urgent,0
+91-9553839901,jeffrey97@example.org,551,36-50,Single,928874,not interested,1
+91-9996892162,jenniferferguson@example.org,775,26-35,Single,830682,not interested interested,1
+91-9359844087,pricelance@example.net,436,51+,Married with Kids,766111,interested immediately urgent,0
+91-9742559108,fpotter@example.org,395,18-25,Married,694361,now interested,1
+91-9021848353,allenmichael@example.org,348,26-35,Single,338711,maybe interested urgent,0
+91-9987952361,wilsonjulie@example.com,765,18-25,Married,533839,not interested,0
+91-9636615278,yvonnewyatt@example.org,726,18-25,Married with Kids,131898,maybe urgent,1
+91-9042507235,madelineleonard@example.org,331,18-25,Married,547894,now,0
+91-9216963114,michael18@example.com,822,51+,Married with Kids,643221,maybe interested,1
+91-9343833464,caitlinmassey@example.com,616,51+,Married with Kids,959259,soon,0
+91-9344581838,jacquelinefletcher@example.com,305,26-35,Married,491337,later now,0
+91-9816320766,deannathomas@example.net,592,26-35,Married with Kids,465216,interested now not interested,1
+91-9648137985,williamnelson@example.com,361,18-25,Married with Kids,290024,immediately,0
+91-9889899219,tuckerashlee@example.org,418,26-35,Married,177263,urgent later soon,0
+91-9154559249,cpatton@example.net,503,18-25,Married,838925,urgent immediately,0
+91-9510468114,heather50@example.org,656,18-25,Single,637358,immediately later now,0
+91-9430967868,ericcaldwell@example.net,497,26-35,Married with Kids,750181,soon urgent immediately,1
+91-9957405142,wilsondonald@example.net,746,18-25,Married,989276,later soon,0
